Address;AddressFM;location;point;Lat;Long
Im Wickengarten;Frankfurt am Main Im Wickengarten;Im Wickengarten, Bergen-Enkheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60388, Deutschland;50.1523333, 8.7620093, 0.0;50.1523333; 8.7620093
Im Wiesengarten;Frankfurt am Main Im Wiesengarten;Im Wiesengarten, Berkersheim, Harheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60435, Deutschland;50.1721929, 8.6944006, 0.0;50.1721929; 8.6944006
Im Wiesengrund;Frankfurt am Main Im Wiesengrund;Im Wiesengrund, Kalbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1888005, 8.6327663, 0.0;50.1888005; 8.6327663
Im Winkel;Frankfurt am Main Im Winkel;Im Winkel, Bergen-Enkheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60388, Deutschland;50.1437309, 8.7540412, 0.0;50.1437309; 8.7540412
Im Wörth;Frankfurt am Main Im Wörth;Im Wörth, Eschersheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60433, Deutschland;50.1578439, 8.6584267, 0.0;50.1578439; 8.6584267
Im Ziegelfeld;Frankfurt am Main Im Ziegelfeld;Im Ziegelfeld, Nied, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65934, Deutschland;50.1020245, 8.5619932, 0.0;50.1020245; 8.5619932
Imkerweg;Frankfurt am Main Imkerweg;Imkerweg, Sindlingen, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65931, Deutschland;50.0759123, 8.5167138, 0.0;50.0759123; 8.5167138
Immermannstraße;Frankfurt am Main Immermannstraße;Immermannstraße, Dornbusch, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60431, Deutschland;50.1390208, 8.6626136, 0.0;50.1390208; 8.6626136
In den Aspen;Frankfurt am Main In den Aspen;In den Aspen, Harheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1872835, 8.6963864, 0.0;50.1872835; 8.6963864
In den Biegen;Frankfurt am Main In den Biegen;In den Biegen, Harheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1816877, 8.6970978, 0.0;50.1816877; 8.6970978
In den Gräben;Frankfurt am Main In den Gräben;In den Gräben, Berkersheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60435, Deutschland;50.1682763, 8.6885794, 0.0;50.1682763; 8.6885794
In den Grummetwiesen;Frankfurt am Main In den Grummetwiesen;In den Grummetwiesen, Praunheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60488, Deutschland;50.1430621, 8.6252862, 0.0;50.1430621; 8.6252862
In den Schafgärten;Frankfurt am Main In den Schafgärten;In den Schafgärten, Harheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1866105, 8.6912795, 0.0;50.1866105; 8.6912795
In den Seewiesen;Frankfurt am Main In den Seewiesen;In den Seewiesen, Kalbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.1848072, 8.6495856, 0.0;50.1848072; 8.6495856
In den Stegwiesen;Frankfurt am Main In den Stegwiesen;In den Stegwiesen, Heddernheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60439, Deutschland;50.1662532, 8.6432621, 0.0;50.1662532; 8.6432621
In den Teichen;Frankfurt am Main In den Teichen;In den Teichen, Wagenplatz Borsigallee, Seckbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60389, Deutschland;50.1422936, 8.7282519, 0.0;50.1422936; 8.7282519
In den Waldgärten;Frankfurt am Main In den Waldgärten;In den Waldgärten, Hausen, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60488, Deutschland;50.1359604, 8.6230211, 0.0;50.1359604; 8.6230211
In den Zeuläckern;Frankfurt am Main In den Zeuläckern;In den Zeuläckern, Seckbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60389, Deutschland;50.1398584, 8.7227155, 0.0;50.1398584; 8.7227155
In der Au;Frankfurt am Main In der Au;In der Au, Rödelheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60489, Deutschland;50.1218521, 8.5996882, 0.0;50.1218521; 8.5996882
